column,n_obs,first
fsbi_sales_sa,92,2019-01-01
fsbi_txn_sa,92,2019-01-01
fsbi_sales_nsa,92,2019-01-01
fsbi_txn_nsa,92,2019-01-01
fsbi_ticket_sa,92,2019-01-01
fsbi_ticket_nsa,92,2019-01-01
cpi_sa,92,2019-01-01
cpi_nsa,92,2019-01-01
core_cpi_sa,92,2019-01-01
pce_price,91,2019-01-01
core_pce_price,91,2019-01-01
cpi_food_away,92,2019-01-01
cpi_gasoline,92,2019-01-01
cpi_food_home,92,2019-01-01
cpi_shelter,92,2019-01-01
cpi_apparel,92,2019-01-01
cpi_used_cars,92,2019-01-01
retail_sa,92,2019-01-01
retail_nsa,92,2019-01-01
retail_ex_auto,92,2019-01-01
pce,91,2019-01-01
real_pce,91,2019-01-01
pce_durables,91,2019-01-01
pce_nondurables,91,2019-01-01
pce_services,91,2019-01-01
real_income,91,2019-01-01
savings_rate,91,2019-01-01
unemployment,92,2019-01-01
payrolls,92,2019-01-01
fed_funds,92,2019-01-01
treasury_2y,92,2019-01-01
treasury_10y,92,2019-01-01
breakeven_10y,92,2019-01-01
sentiment,91,2019-01-01
inflation_expect,91,2019-01-01
vix,92,2019-01-01
dollar,92,2019-01-01
oil,92,2019-01-01
dgs3mo,92,2019-01-01
dgs5,92,2019-01-01
houst,92,2019-01-01
indpro,92,2019-01-01
payems,92,2019-01-01
wtisplc,92,2019-01-01
umcsent,91,2019-01-01
dgs5_minus_dgs3mo,92,2019-01-01
fsbi_sales_sa_mom,91,2019-02-01
fsbi_txn_sa_mom,91,2019-02-01
fsbi_sales_nsa_mom,91,2019-02-01
fsbi_txn_nsa_mom,91,2019-02-01
fsbi_ticket_sa_mom,91,2019-02-01
fsbi_ticket_nsa_mom,91,2019-02-01
cpi_sa_mom,91,2019-02-01
cpi_nsa_mom,91,2019-02-01
core_cpi_sa_mom,91,2019-02-01
pce_price_mom,90,2019-02-01
core_pce_price_mom,90,2019-02-01
cpi_food_away_mom,91,2019-02-01
cpi_gasoline_mom,91,2019-02-01
cpi_food_home_mom,91,2019-02-01
cpi_shelter_mom,91,2019-02-01
cpi_apparel_mom,91,2019-02-01
cpi_used_cars_mom,91,2019-02-01
retail_sa_mom,91,2019-02-01
retail_nsa_mom,91,2019-02-01
retail_ex_auto_mom,91,2019-02-01
pce_mom,90,2019-02-01
real_pce_mom,90,2019-02-01
pce_durables_mom,90,2019-02-01
pce_nondurables_mom,90,2019-02-01
pce_services_mom,90,2019-02-01
real_income_mom,90,2019-02-01
payrolls_mom,91,2019-02-01
sentiment_mom,90,2019-02-01
dollar_mom,91,2019-02-01
oil_mom,91,2019-02-01
houst_mom,91,2019-02-01
indpro_mom,91,2019-02-01
payems_mom,91,2019-02-01
wtisplc_mom,91,2019-02-01
umcsent_mom,90,2019-02-01
fsbi_sales_sa_yoy,80,2020-01-01
fsbi_txn_sa_yoy,80,2020-01-01
fsbi_sales_nsa_yoy,80,2020-01-01
fsbi_txn_nsa_yoy,80,2020-01-01
fsbi_ticket_sa_yoy,80,2020-01-01
fsbi_ticket_nsa_yoy,80,2020-01-01
cpi_sa_yoy,80,2020-01-01
cpi_nsa_yoy,80,2020-01-01
core_cpi_sa_yoy,80,2020-01-01
pce_price_yoy,79,2020-01-01
core_pce_price_yoy,79,2020-01-01
cpi_food_away_yoy,80,2020-01-01
cpi_gasoline_yoy,80,2020-01-01
cpi_food_home_yoy,80,2020-01-01
cpi_shelter_yoy,80,2020-01-01
cpi_apparel_yoy,80,2020-01-01
cpi_used_cars_yoy,80,2020-01-01
retail_sa_yoy,80,2020-01-01
retail_nsa_yoy,80,2020-01-01
retail_ex_auto_yoy,80,2020-01-01
pce_yoy,79,2020-01-01
real_pce_yoy,79,2020-01-01
pce_durables_yoy,79,2020-01-01
pce_nondurables_yoy,79,2020-01-01
pce_services_yoy,79,2020-01-01
real_income_yoy,79,2020-01-01
payrolls_yoy,80,2020-01-01
sentiment_yoy,79,2020-01-01
dollar_yoy,80,2020-01-01
oil_yoy,80,2020-01-01
houst_yoy,80,2020-01-01
indpro_yoy,80,2020-01-01
payems_yoy,80,2020-01-01
wtisplc_yoy,80,2020-01-01
umcsent_yoy,79,2020-01-01
fed_funds_mom,91,2019-02-01
treasury_2y_mom,91,2019-02-01
treasury_10y_mom,91,2019-02-01
breakeven_10y_mom,91,2019-02-01
savings_rate_mom,90,2019-02-01
unemployment_mom,91,2019-02-01
inflation_expect_mom,90,2019-02-01
vix_mom,91,2019-02-01
dgs3mo_mom,91,2019-02-01
dgs5_mom,91,2019-02-01
dgs5_minus_dgs3mo_mom,91,2019-02-01
fed_funds_yoy,80,2020-01-01
treasury_2y_yoy,80,2020-01-01
treasury_10y_yoy,80,2020-01-01
breakeven_10y_yoy,80,2020-01-01
savings_rate_yoy,79,2020-01-01
unemployment_yoy,80,2020-01-01
inflation_expect_yoy,79,2020-01-01
vix_yoy,80,2020-01-01
dgs3mo_yoy,80,2020-01-01
dgs5_yoy,80,2020-01-01
dgs5_minus_dgs3mo_yoy,80,2020-01-01
fsbi_sales_sa_yoy_ma3,78,2020-03-01
fsbi_ticket_sa_yoy_ma3,78,2020-03-01
fsbi_txn_sa_yoy_ma3,78,2020-03-01
retail_sa_yoy_ma3,78,2020-03-01
cpi_sa_yoy_ma3,78,2020-03-01
fsbi_sales_sa_yoy_ma6,75,2020-06-01
fsbi_ticket_sa_yoy_ma6,75,2020-06-01
fsbi_txn_sa_yoy_ma6,75,2020-06-01
retail_sa_yoy_ma6,75,2020-06-01
cpi_sa_yoy_ma6,75,2020-06-01
fsbi_sales_sa_mom_lag1,90,2019-03-01
fsbi_txn_sa_mom_lag1,90,2019-03-01
fsbi_sales_nsa_mom_lag1,90,2019-03-01
fsbi_txn_nsa_mom_lag1,90,2019-03-01
fsbi_ticket_sa_mom_lag1,90,2019-03-01
fsbi_ticket_nsa_mom_lag1,90,2019-03-01
fsbi_sales_sa_yoy_lag1,79,2020-02-01
fsbi_txn_sa_yoy_lag1,79,2020-02-01
fsbi_sales_nsa_yoy_lag1,79,2020-02-01
