date,SeriesCode,LineDescription,value
2015-01-01,DPCERX,Personal consumption expenditures (PCE),12484726
2015-02-01,DPCERX,Personal consumption expenditures (PCE),12514133
2015-03-01,DPCERX,Personal consumption expenditures (PCE),12551848
2015-04-01,DPCERX,Personal consumption expenditures (PCE),12574797
2015-05-01,DPCERX,Personal consumption expenditures (PCE),12612729
2015-06-01,DPCERX,Personal consumption expenditures (PCE),12621633
2015-07-01,DPCERX,Personal consumption expenditures (PCE),12668446
2015-08-01,DPCERX,Personal consumption expenditures (PCE),12699695
2015-09-01,DPCERX,Personal consumption expenditures (PCE),12707228
2015-10-01,DPCERX,Personal consumption expenditures (PCE),12715920
2015-11-01,DPCERX,Personal consumption expenditures (PCE),12737026
2015-12-01,DPCERX,Personal consumption expenditures (PCE),12777287
2016-01-01,DPCERX,Personal consumption expenditures (PCE),12798711
2016-02-01,DPCERX,Personal consumption expenditures (PCE),12884040
2016-03-01,DPCERX,Personal consumption expenditures (PCE),12836102
2016-04-01,DPCERX,Personal consumption expenditures (PCE),12870150
2016-05-01,DPCERX,Personal consumption expenditures (PCE),12891217
2016-06-01,DPCERX,Personal consumption expenditures (PCE),12948552
2016-07-01,DPCERX,Personal consumption expenditures (PCE),12972225
2016-08-01,DPCERX,Personal consumption expenditures (PCE),12986082
2016-09-01,DPCERX,Personal consumption expenditures (PCE),13020884
2016-10-01,DPCERX,Personal consumption expenditures (PCE),13014898
2016-11-01,DPCERX,Personal consumption expenditures (PCE),13036803
2016-12-01,DPCERX,Personal consumption expenditures (PCE),13128482
2017-01-01,DPCERX,Personal consumption expenditures (PCE),13136309
2017-02-01,DPCERX,Personal consumption expenditures (PCE),13143371
2017-03-01,DPCERX,Personal consumption expenditures (PCE),13201744
2017-04-01,DPCERX,Personal consumption expenditures (PCE),13206064
2017-05-01,DPCERX,Personal consumption expenditures (PCE),13214465
2017-06-01,DPCERX,Personal consumption expenditures (PCE),13256700
2017-07-01,DPCERX,Personal consumption expenditures (PCE),13290089
2017-08-01,DPCERX,Personal consumption expenditures (PCE),13291675
2017-09-01,DPCERX,Personal consumption expenditures (PCE),13364384
2017-10-01,DPCERX,Personal consumption expenditures (PCE),13377008
2017-11-01,DPCERX,Personal consumption expenditures (PCE),13450341
2017-12-01,DPCERX,Personal consumption expenditures (PCE),13555357
2018-01-01,DPCERX,Personal consumption expenditures (PCE),13541333
2018-02-01,DPCERX,Personal consumption expenditures (PCE),13547251
2018-03-01,DPCERX,Personal consumption expenditures (PCE),13586534
2018-04-01,DPCERX,Personal consumption expenditures (PCE),13598657
2018-05-01,DPCERX,Personal consumption expenditures (PCE),13640539
2018-06-01,DPCERX,Personal consumption expenditures (PCE),13653705
2018-07-01,DPCERX,Personal consumption expenditures (PCE),13682745
2018-08-01,DPCERX,Personal consumption expenditures (PCE),13711487
2018-09-01,DPCERX,Personal consumption expenditures (PCE),13687137
2018-10-01,DPCERX,Personal consumption expenditures (PCE),13727109
2018-11-01,DPCERX,Personal consumption expenditures (PCE),13800281
2018-12-01,DPCERX,Personal consumption expenditures (PCE),13682327
2019-01-01,DPCERX,Personal consumption expenditures (PCE),13721695
2019-02-01,DPCERX,Personal consumption expenditures (PCE),13728472
2019-03-01,DPCERX,Personal consumption expenditures (PCE),13824825
2019-04-01,DPCERX,Personal consumption expenditures (PCE),13825912
2019-05-01,DPCERX,Personal consumption expenditures (PCE),13877100
2019-06-01,DPCERX,Personal consumption expenditures (PCE),13924102
2019-07-01,DPCERX,Personal consumption expenditures (PCE),13989862
2019-08-01,DPCERX,Personal consumption expenditures (PCE),14043558
2019-09-01,DPCERX,Personal consumption expenditures (PCE),14066246
2019-10-01,DPCERX,Personal consumption expenditures (PCE),14067246
2019-11-01,DPCERX,Personal consumption expenditures (PCE),14142836
2019-12-01,DPCERX,Personal consumption expenditures (PCE),14165741
2020-01-01,DPCERX,Personal consumption expenditures (PCE),14230697
2020-02-01,DPCERX,Personal consumption expenditures (PCE),14181357
2020-03-01,DPCERX,Personal consumption expenditures (PCE),13249089
2020-04-01,DPCERX,Personal consumption expenditures (PCE),11798613
2020-05-01,DPCERX,Personal consumption expenditures (PCE),12780528
2020-06-01,DPCERX,Personal consumption expenditures (PCE),13476816
2020-07-01,DPCERX,Personal consumption expenditures (PCE),13683504
2020-08-01,DPCERX,Personal consumption expenditures (PCE),13793028
2020-09-01,DPCERX,Personal consumption expenditures (PCE),13964586
2020-10-01,DPCERX,Personal consumption expenditures (PCE),14007104
2020-11-01,DPCERX,Personal consumption expenditures (PCE),13970316
2020-12-01,DPCERX,Personal consumption expenditures (PCE),14026679
2021-01-01,DPCERX,Personal consumption expenditures (PCE),14204700
2021-02-01,DPCERX,Personal consumption expenditures (PCE),14074144
2021-03-01,DPCERX,Personal consumption expenditures (PCE),14680008
2021-04-01,DPCERX,Personal consumption expenditures (PCE),14796046
2021-05-01,DPCERX,Personal consumption expenditures (PCE),14771441
2021-06-01,DPCERX,Personal consumption expenditures (PCE),14892556
2021-07-01,DPCERX,Personal consumption expenditures (PCE),14869012
2021-08-01,DPCERX,Personal consumption expenditures (PCE),14970163
2021-09-01,DPCERX,Personal consumption expenditures (PCE),14990558
2021-10-01,DPCERX,Personal consumption expenditures (PCE),15085519
2021-11-01,DPCERX,Personal consumption expenditures (PCE),15115905
2021-12-01,DPCERX,Personal consumption expenditures (PCE),15059161
2022-01-01,DPCERX,Personal consumption expenditures (PCE),15067837
2022-02-01,DPCERX,Personal consumption expenditures (PCE),15077930
2022-03-01,DPCERX,Personal consumption expenditures (PCE),15156782
2022-04-01,DPCERX,Personal consumption expenditures (PCE),15235370
2022-05-01,DPCERX,Personal consumption expenditures (PCE),15214128
2022-06-01,DPCERX,Personal consumption expenditures (PCE),15223574
2022-07-01,DPCERX,Personal consumption expenditures (PCE),15237130
2022-08-01,DPCERX,Personal consumption expenditures (PCE),15319831
2022-09-01,DPCERX,Personal consumption expenditures (PCE),15330524
2022-10-01,DPCERX,Personal consumption expenditures (PCE),15358093
